tof(microsec),V,E
8905,0.13514,0.01912
8915,0.13844,0.01855
8925,0.14002,0.01829
8935,0.13746,0.01872
8945,0.13868,0.01881
8955,0.1377,0.01769
8965,0.13649,0.01998
8975,0.14527,0.01992
8985,0.13258,0.01858
8995,0.1349,0.01984
9005,0.14515,0.01881
9015,0.14124,0.01852
9025,0.14234,0.01946
9035,0.14807,0.01792
9045,0.14954,0.01889
9055,0.15112,0.01895
9065,0.15551,0.01904
9075,0.15259,0.01764
9085,0.14454,0.01784
9095,0.13807,0.01938
9105,0.13953,0.01792
9115,0.13344,0.01789
9125,0.14295,0.01804
9135,0.13685,0.01795
9145,0.13697,0.01829
9155,0.13953,0.01841
9165,0.12953,0.01795
9175,0.14063,0.01915
9185,0.13575,0.01652
9195,0.12953,0.01801
9205,0.12612,0.01772
9215,0.12575,0.01935
9225,0.13075,0.01666
9235,0.1421,0.01775
9245,0.13417,0.01818
9255,0.13783,0.01755
9265,0.13197,0.01726
9275,0.13063,0.01766
9285,0.13819,0.01746
9295,0.13356,0.01729
9305,0.131,0.01775
9315,0.14027,0.01829
9325,0.13075,0.01858
9335,0.14197,0.01766
9345,0.13209,0.01769
9355,0.13087,0.01575
9365,0.13929,0.01603
9375,0.13307,0.01861
9385,0.13551,0.01786
9395,0.13514,0.01818
9405,0.12539,0.01749
9415,0.131,0.01764
9425,0.13502,0.01844
9435,0.13892,0.01735
9445,0.1327,0.01772
9455,0.13173,0.01778
9465,0.13539,0.01615
9475,0.12465,0.01726
9485,0.13368,0.01738
9495,0.12734,0.01709
9505,0.12941,0.01792
9515,0.14502,0.01789
9525,0.13649,0.01681
9535,0.13844,0.01844
9545,0.13795,0.01712
9555,0.13356,0.01666
9565,0.1349,0.02015
9575,0.13283,0.01881
9585,0.14344,0.01935
9595,0.13905,0.01952
9605,0.13331,0.02066
9615,0.13429,0.01929
9625,0.13673,0.02004
9635,0.12636,0.01778
9645,0.13185,0.01795
9655,0.13124,0.01772
9665,0.13356,0.01764
9675,0.13783,0.01723
9685,0.13453,0.01601
9695,0.13649,0.01743
9705,0.13173,0.01772
9715,0.13466,0.01775
9725,0.13868,0.01772
9735,0.13185,0.01784
9745,0.13466,0.01649
9755,0.121,0.01646
9765,0.13063,0.01661
9775,0.1399,0.01692
9785,0.13392,0.01718
9795,0.12904,0.01721
9805,0.13941,0.01692
9815,0.13209,0.01615
9825,0.13661,0.01701
9835,0.1349,0.01752
9845,0.13148,0.01746
9855,0.12734,0.01712
9865,0.13819,0.01723
9875,0.12831,0.01726
9885,0.14051,0.01723
9895,0.13161,0.01709
